19:47:16: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
19:47:16: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | main | 79] Connected!
19:47:16: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD4940A50>
19:47:17: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45915B0>
19:47:17: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD39C0290>
19:47:17: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD454DD00>
19:47:17: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD49289B0>
19:47:17: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD4928C80>
19:47:18: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45990F0>
19:47:18: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:18: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8290>
19:47:18: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8110>
19:47:18: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:19: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8290>
19:47:19: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:19: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8110>
19:47:19: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:19: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8290>
19:47:20: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:20: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8110>
19:47:20: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:20: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8290>
19:47:20: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8110>
19:47:21: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8290>
19:47:21: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8050>
19:47:21: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001EFD45A8290>
